fecha_observacion,fuente,manzana,estado,superficie_m2,plazo_meses,cuota_anterior_gs,cuota_actual_gs,contado_anterior_gs,contado_actual_gs,uso_permitido
2026-09,Tour Virtual (observado por el cliente),8,DISPONIBLE,364.548,130,340000,260000,26520000,20280000,SOLO_REFERENCIA_NO_OFERTA
2026-09,Tour Virtual (observado por el cliente),14,DISPONIBLE,366.1666,130,350000,270000,27300000,21060000,SOLO_REFERENCIA_NO_OFERTA
